44,Noto Sans Lao,Regular,NotoSansLao-Regular.ttf,0,Noto Sans Lao,NotoSansLao,Noto Sans Lao,2,Noto Sans Lao,NotoSansLao,0,400,0,536871185,1090519040,33554432,0,0,0,,
45,Noto Sans Tamil,Regular,NotoSansTamil-Regular.ttf,0,Noto Sans Tamil,NotoSansTamil,Noto Sans Tamil,2,Noto Sans Tamil,NotoSansTamil,0,400,0,1,0,1048576,0,0,0,,
46,Noto Sans Gujarati,Regular,NotoNirmalaui-Regular.ttf,0,Noto Sans Gujarati,NotoSansGujarati,Noto Sans Gujarati,2,Noto Sans Gujarati,NotoSansGujarati,0,400,0,1,0,262144,0,0,0,,
47,Noto Sans Sinhala,Regular,NotoSansSinhala-Regular.ttf,0,Noto Sans Sinhala,NotoSansSinhala,Noto Sans Sinhala,2,Noto Sans Sinhala,NotoSansSinhala,0,400,0,1,0,0,0,512,0,,
48,Noto Sans CJK TC DemiLight,Regular,NotoSansCJKtc-DemiLight.otf,0,Noto Sans CJK TC DemiLight,NotoSansCJKtc-DemiLight,Noto Sans CJK TC DemiLight,2,Noto Sans CJK TC DemiLight,NotoSansCJKtc-DemiLight,0,350,0,258,0,805306371,736050192,22,0,,
49,Noto Sans Ethiopic,Regular,NotoSansEthiopic-Regular.ttf,0,Noto Sans Ethiopic,NotoSansEthiopic,Noto Sans Ethiopic,2,Noto Sans Ethiopic,NotoSansEthiopic,0,400,0,1,0,0,0,2048,0,,
50,Noto Sans Gujarati,Regular,NotoSansGujarati-Regular.ttf,0,Noto Sans Gujarati,NotoSansGujarati,Noto Sans Gujarati,2,Noto Sans Gujarati,NotoSansGujarati,0,400,0,1,0,262144,0,0,0,,
51,Noto Sans,Bold Italic,NotoSans-BoldItalic.ttf,0,Noto Sans,NotoSans-BoldItalic,Noto Sans Bold Italic,2,Noto Sans,NotoSans-BoldItalic,1,700,262208,536871327,3755409408,3758097151,0,0,0,,
52,Noto Serif Khmer,Regular,NotoSerifKhmer-Regular.ttf,0,Noto Serif Khmer,NotoSerifKhmer,Noto Serif Khmer,2,Noto Serif Khmer,NotoSerifKhmer,0,400,2,1,0,2147483651,8283,65536,0,,
53,Noto Sans CJK TC Light,Regular,NotoSansCJKtc-Light.otf,0,Noto Sans CJK TC Light,NotoSansCJKtc-Light,Noto Sans CJK TC Light,2,Noto Sans CJK TC Light,NotoSansCJKtc-Light,0,300,0,536871175,0,805306371,736050192,22,0,,
54,Noto Serif Lao,Bold,NotoSerifLao-Bold.ttf,0,Noto Serif Lao,NotoSerifLao-Bold,Noto Serif Lao Bold,2,Noto Serif Lao,NotoSerifLao-Bold,0,700,262144,536871185,1090519040,33554432,0,0,0,,
55,Noto Sans CJK KR Light,Regular,NotoSansCJKkr-Light.otf,0,Noto Sans CJK KR Light,NotoSansCJKkr-Light,Noto Sans CJK KR Light,2,Noto Sans CJK KR Light,NotoSansCJKkr-Light,0,300,0,1073742081,0,805306371,736050192,22,0,,
56,Noto Sans CJK KR Thin,Regular,NotoSansCJKkr-Thin.otf,0,Noto Sans CJK KR Thin,NotoSansCJKkr-Thin,Noto Sans CJK KR Thin,2,Noto Sans CJK KR Thin,NotoSansCJKkr-Thin,0,250,0,1073742081,0,805306371,736050192,22,0,,
57,Noto Sans Khmer,Bold,NotoSansKhmer-Bold.ttf,0,Noto Sans Khmer,NotoSansKhmer-Bold,Noto Sans Khmer Bold,2,Noto Sans Khmer,NotoSansKhmer-Bold,0,700,262144,536871185,1090519040,0,0,65536,0,,
58,Noto Sans CJK KR Regular,Regular,NotoSansCJKkr-Regular.otf,0,Noto Sans CJK KR Regular,NotoSansCJKkr-Regular,Noto Sans CJK KR,3,Noto Sans CJK KR Regular,NotoSansCJKkr-Regular,Noto Sans CJK KR,0,400,0,1610612999,0,805306371,736050192,22,0,
59,Noto Sans CJK SC DemiLight,Regular,NotoSansSC-DemiLight.otf,0,Noto Sans CJK SC DemiLight,NotoSansCJKsc-DemiLight,Noto Sans CJK SC DemiLight,2,Noto Sans CJK SC DemiLight,NotoSansCJKsc-DemiLight,0,350,0,536871175,0,805306371,736050192,22,0,,
60,Noto Sans Sinhala,Bold,NotoSansSinhala-Bold.ttf,0,Noto Sans Sinhala,NotoSansSinhala-Bold,Noto Sans Sinhala Bold,2,Noto Sans Sinhala,NotoSansSinhala-Bold,0,700,262144,1,0,0,0,512,0,,
61,Noto Sans CJK JP Light,Regular,NotoSansCJKjp-Light.otf,0,Noto Sans CJK JP Light,NotoSansCJKjp-Light,Noto Sans CJK JP Light,2,Noto Sans CJK JP Light,NotoSansCJKjp-Light,0,300,0,1610612999,0,805306371,736050192,22,0,,
62,Noto Sans Mono CJK SC Regular,Regular,NotoSansMonoCJKsc-Regular.otf,0,Noto Sans Mono CJK SC Regular,NotoSansMonoCJKsc-Regular,Noto Sans Mono CJK SC,3,Noto Sans Mono CJK SC Regular,NotoSansMonoCJKsc-Regular,Noto Sans Mono CJK SC,0,400,0,1610612999,0,805306371,736050192,22,0,
63,Noto Sans Mono CJK TC Regular,Regular,NotoSansMonoCJKtc-Regular.otf,0,Noto Sans Mono CJK TC Regular,NotoSansMonoCJKtc-Regular,Noto Sans Mono CJK TC,3,Noto Sans Mono CJK TC Regular,NotoSansMonoCJKtc-Regular,Noto Sans Mono CJK TC,0,400,0,1073742087,0,805306371,736050192,22,0,
64,Noto Naskh Arabic,Regular,NotoNaskhArabic-Regular.ttf,0,Noto Naskh Arabic,NotoNaskhArabic,Noto Naskh Arabic,2,Noto Naskh Arabic,NotoNaskhArabic,0,400,0,65,524288,8192,2147483648,8,0,,
65,Noto Sans Lao,Bold,NotoSansLao-Bold.ttf,0,Noto Sans Lao,NotoSansLao-Bold,Noto Sans Lao Bold,2,Noto Sans Lao,NotoSansLao-Bold,0,700,262144,536871185,1090519040,33554432,0,0,0,,
66,Noto Sans Mongolian,Regular,NotoSansMongolian-Regular.ttf,0,Noto Sans Mongolian,NotoSansMongolian,Noto Sans Mongolian,2,Noto Sans Mongolian,NotoSansMongolian,0,400,0,1,0,0,0,131072,0,,
67,Noto Sans Mono CJK JP Regular,Regular,NotoSansMonoCJKjp-Regular.otf,0,Noto Sans Mono CJK JP Regular,NotoSansMonoCJKjp-Regular,Noto Sans Mono CJK JP,3,Noto Sans Mono CJK JP Regular,NotoSansMonoCJKjp-Regular,Noto Sans Mono CJK JP,0,400,0,1610612999,0,805306371,736050192,22,0,
68,Noto Sans CJK JP DemiLight,Regular,NotoSansCJKjp-DemiLight.otf,0,Noto Sans CJK JP DemiLight,NotoSansCJKjp-DemiLight,Noto Sans CJK JP DemiLight,2,Noto Sans CJK JP DemiLight,NotoSansCJKjp-DemiLight,0,350,0,1610612999,0,805306371,736050192,22,0,,
69,Noto Sans Hebrew,Bold,NotoSansHebrew-Bold.ttf,0,Noto Sans Hebrew,NotoSansHebrew-Bold,Noto Sans Hebrew Bold,2,Noto Sans Hebrew,NotoSansHebrew-Bold,0,700,262144,33,2097152,2048,1073741824,0,0,,
70,Noto Serif,Bold,NotoSerif-Bold.ttf,0,Noto Serif,NotoSerif-Bold,Noto Serif Bold,2,Noto Serif,NotoSerif-Bold,0,700,262146,415,0,3758097151,1073750047,134217769,1048576,,
71,Noto Serif,Bold Italic,NotoSerif-BoldItalic.ttf,0,Noto Serif,NotoSerif-BoldItalic,Noto Serif Bold Italic,2,Noto Serif,NotoSerif-BoldItalic,1,700,262210,415,0,3758097151,1073750047,134217769,1048576,,
72,Noto Serif,Italic,NotoSerif-Italic.ttf,0,Noto Serif,NotoSerif-Italic,Noto Serif Italic,2,Noto Serif,NotoSerif-Italic,1,400,66,415,0,3758097151,1073750047,134217769,1048576,,
73,Noto Serif,Regular,NotoSerif-Regular.ttf,0,Noto Serif,NotoSerif-Regular,Noto Serif,2,Noto Serif,NotoSerif-Regular,0,400,2,415,0,3758097151,1073750047,134217769,1048576,,
